ID,ecozone,gender,reproduction,embryo
Coronatella_rectangula,T,D,A,F
Euryalona_orientalis,T,D,A,F
Leydigia_acanthocercoides,T,D,A,T
Leydigia_ciliata,T,D,A,F
Leydigia_leydigi,T,D,A,T
Oxyurella_longicaudis,T,D,A,F
Alonella_excisa,T,D,A,F
Chydorus_pubescens,T,D,A,F
Chydorus_sphaericus,T,D,A,F
Disparalona_rostrata,T,D,A,T
Pleuroxus_aduncus,T,D,A,F
Pleuroxus_striatus,T,D,A,F
Bosmina_fatalis,T,D,A,F
Bosmina_longirostris,T,D,A,F
Bosminopsis_deitersi,T,D,A,F
Eubosmina_coregoni,T,D,A,F
Ilyocryptus_spinifer,T,D,A,F
Bythotrephes_longimanus,T,D,A,F
Diaphanosoma_brachyurum,T,D,A,F
Diaphanosoma_excisum,T,D,A,F
Diaphanosoma_sarsi,T,D,A,F
Diaphanosoma_senegal,T,D,A,F
Latonopsis_australis,T,D,A,F
Penilia_avirostris,M,D,A,M
Pseudosida_bidentata,T,D,A,F
Pseudosida_ramosa,T,D,A,F
Sida_crystallina,T,D,A,F
Leptodora_kindtii,T,D,A,F
Cyclestheria_hislopi,T,H,O,F
Lynceus_brachyurus,T,H,O,F
Cyzicus_grubei,T,H,O,F
Eulimnadia_braueriana,T,H,O,F
Eulimnadia_diversa,T,H,O,F
Eulimnadia_texana,T,H,O,F
Lepidurus_arcticus,T,D,A,F
Triops_granarius,T,D,A,F
Triops_longicaudatus,T,D,A,F
Pollicipes_polymerus,M,H,O,M
Notobalanus_flosculus,M,H,O,M
Amphibalanus_amphitrite,M,H,O,M
Balanus_glandula,M,H,O,M
Austrominius_modestus,M,H,O,M
Nitokra_spinipes,T,D,O,F
Tigriopus_brevicornis,M,D,O,M
Tachidius_discipes,M,D,O,M
Acanthocyclops_robustus,T,D,O,F
Cyclops_vicinus,T,D,O,F
Mesocyclops_leukarti,T,D,O,F
Oithona_similis,M,D,O,M
Calanus_sinicus,M,D,O,M
Eurytemora_affinis,M,D,O,M
Temora_longicornis,M,D,O,M
Lepeophtheirus_salmonis,M,D,O,M
Boreomysis_microps,M,D,O,M
Gastrosaccus_roscoffensis,M,D,O,M
Americamysis_almyra,M,D,O,M
Americamysis_bahia,M,D,O,M
Leptomysis_lingvura,M,D,O,M
Metamysidopsis_elongata,M,D,O,M
Hemimysis_speluncola,M,D,O,M
Mysis_mixta,M,D,O,M
Neomysis_integer,M,D,O,M
Praunus_flexuosus,M,D,O,M
Asellus_aquaticus,T,D,O,F
Excirolana_armata,M,D,O,M
Excirolana_braziliensis,M,D,O,M
Porcellio_scaber,T,D,O,T
Dynamene_bidentata,M,D,O,M
Tylos_capensis,T,D,O,T
Calliopius_laeviusculus,M,D,O,M
Corophium_volutator,M,D,O,M
Monocorophium_insidiosum,M,D,O,M
Jassa_falcata,M,D,O,M
Dikerogammarus_villosus,T,D,O,F
Gammarus_fossarum,T,D,O,F
Gammarus_minus,T,D,O,F
Gammarus_pseudolimnaeus,T,D,O,F
Gammarus_pulex,T,D,O,F
Gammarus_roeselii,T,D,O,F
Marinogammarus_marinus,M,D,O,M
Arcitalitrus_dorrieni,T,D,O,F
Hyalella_azteca,T,D,O,F
Hyperia_galba,M,D,O,M
Hyperoche_medusarum,M,D,O,M
Paramoera_walkeri,M,D,O,M
Euphausia_pacifica,M,D,O,M
Euphausia_superba,M,D,O,M
Meganyctiphanes_norvegica,M,D,O,M
Nyctiphanes_australis,M,D,O,M
Aristeus_antennatus,M,D,O,M
Gennadas_elegans,M,D,O,M
Xiphopenaeus_kroyeri,M,D,O,M
Litopenaeus_stylirostris,M,D,O,M
Penaeus_esculentus,M,D,O,M
Penaeus_japonicus,M,D,O,M
Penaeus_semisulcatus,M,D,O,M
Fenneropenaeus_chinensis,M,D,O,M
Haliporoides_sibogae,M,D,O,M
Paratya_australiensis,T,D,O,F
Chorismus_antarcticus,M,D,O,M
Pandalus_borealis,M,H,O,M
Dichelopandalus_bonnieri,M,D,O,M
Heterocarpus_reedi,M,D,O,M
Palaemonetes_pugio,M,D,O,M
Palaemonetes_varians,M,D,O,M
Palaemon_elegans,M,D,O,M
Macrobrachium_americanum,T,D,O,F
Macrobrachium_digueti,T,D,O,F
Macrobrachium_hancocki,T,D,O,F
Macrobrachium_occidentale,T,D,O,F
Macrobrachium_panamense,T,D,O,F
Macrobrachium_rosenbergii,T,D,O,F
Macrobrachium_tenellum,T,D,O,F
Macrobrachium_vollenhovenii,T,D,O,F
Crangon_crangon,M,D,O,M
Homarus_gammarus,M,D,O,M
Homarus_americanus,M,D,O,M
Astacus_astacus,T,D,O,F
Pacifastacus_leniusculus,T,D,O,F
Austropotamobius_torrentium,T,D,O,F
Orconectes_eupunctus,T,D,O,F
Orconectes_neglectus,T,D,O,F
Procambarus_clarkii,T,D,A,F
